FileName,Labels
mendel_op19_1.mid,piano;mendel;mendelssohn;1;test;classical;op19
mendel_op62_3.mid,3;op62;piano;mendel;mendelssohn;test;classical
mendel_op62_5.mid,5;op62;piano;mendel;mendelssohn;test;classical
mendel_op30_3_format0.mid,3;format0;piano;mendel;mendelssohn;op30;test;classical
mendel_op19_5.mid,5;piano;mendel;mendelssohn;test;classical;op19
mendel_op19_4.mid,piano;4;mendel;mendelssohn;test;classical;op19
mendel_op19_1_format0.mid,format0;piano;mendel;mendelssohn;1;test;classical;op19
mendel_op30_1.mid,piano;mendel;mendelssohn;op30;1;test;classical
mendel_op19_5_format0.mid,5;format0;piano;mendel;mendelssohn;test;classical;op19
mendel_op53_5.mid,5;piano;mendel;mendelssohn;op53;test;classical
mendel_op19_3.mid,3;piano;mendel;mendelssohn;test;classical;op19
mendel_op19_3_format0.mid,3;format0;piano;mendel;mendelssohn;test;classical;op19
mendel_op30_1_format0.mid,format0;piano;mendel;mendelssohn;op30;1;test;classical
mendel_op62_3_format0.mid,3;format0;op62;piano;mendel;mendelssohn;test;classical
mendel_op53_5_format0.mid,5;format0;piano;mendel;mendelssohn;op53;test;classical
mendel_op30_2.mid,piano;mendel;mendelssohn;2;op30;test;classical
mendel_op19_2_format0.mid,format0;piano;mendel;mendelssohn;2;test;classical;op19
mendel_op62_4_format0.mid,format0;op62;piano;4;mendel;mendelssohn;test;classical
mendel_op19_6.mid,piano;mendel;mendelssohn;6;test;classical;op19
mendel_op19_2.mid,piano;mendel;mendelssohn;2;test;classical;op19
mendel_op62_4.mid,op62;piano;4;mendel;mendelssohn;test;classical
mendel_op30_3.mid,3;piano;mendel;mendelssohn;op30;test;classical
mendel_op19_6_format0.mid,format0;piano;mendel;mendelssohn;6;test;classical;op19
mendel_op19_4_format0.mid,format0;piano;4;mendel;mendelssohn;test;classical;op19
mendel_op62_5_format0.mid,5;format0;op62;piano;mendel;mendelssohn;test;classical
mendel_op30_2_format0.mid,format0;piano;mendel;mendelssohn;2;op30;test;classical
alb_se7_format0.mid,albeniz;format0;alb;piano;se7;test;classical
alb_esp3_format0.mid,albeniz;format0;alb;esp3;piano;test;classical
alb_esp1.mid,albeniz;alb;piano;esp1;test;classical
alb_se8.mid,albeniz;alb;se8;piano;test;classical
alb_esp6.mid,albeniz;alb;piano;test;classical;esp6
alb_esp1_format0.mid,albeniz;format0;alb;piano;esp1;test;classical
alb_esp4_format0.mid,albeniz;format0;alb;esp4;piano;test;classical
alb_esp5.mid,albeniz;alb;esp5;piano;test;classical
alb_esp5_format0.mid,albeniz;format0;alb;esp5;piano;test;classical
alb_se7.mid,albeniz;alb;piano;se7;test;classical
alb_se2.mid,albeniz;se2;alb;piano;test;classical
alb_se3.mid,albeniz;se3;alb;piano;test;classical
alb_esp2_format0.mid,albeniz;format0;alb;piano;test;classical;esp2
alb_esp3.mid,albeniz;alb;esp3;piano;test;classical
alb_se1_format0.mid,albeniz;format0;alb;piano;se1;test;classical
alb_se5.mid,albeniz;alb;piano;se5;test;classical
alb_se8_format0.mid,albeniz;format0;alb;se8;piano;test;classical
alb_se4.mid,albeniz;alb;piano;se4;test;classical
alb_esp6_format0.mid,albeniz;format0;alb;piano;test;classical;esp6
alb_esp2.mid,albeniz;alb;piano;test;classical;esp2
alb_se3_format0.mid,albeniz;format0;se3;alb;piano;test;classical
alb_esp4.mid,albeniz;alb;esp4;piano;test;classical
alb_se5_format0.mid,albeniz;format0;alb;piano;se5;test;classical
alb_se2_format0.mid,albeniz;format0;se2;alb;piano;test;classical
alb_se4_format0.mid,albeniz;format0;alb;piano;se4;test;classical
alb_se1.mid,albeniz;alb;piano;se1;test;classical
rac_op33_6.mid,rachmaninow;op33;piano;rac;6;test;classical
rac_op23_2_format0.mid,format0;rachmaninow;piano;2;rac;test;classical;op23
rac_op23_2.mid,rachmaninow;piano;2;rac;test;classical;op23
rac_op33_5_format0.mid,5;format0;rachmaninow;piano;rac;op33;test;classical
rac_op3_2.mid,rachmaninow;piano;2;rac;test;classical;op3
rac_op32_13.mid,rachmaninow;piano;op32;rac;13;test;classical
rac_op32_1.mid,rachmaninow;piano;op32;rac;1;test;classical
rac_op33_5.mid,5;rachmaninow;piano;rac;op33;test;classical
rac_op33_6_format0.mid,format0;rachmaninow;op33;piano;rac;6;test;classical
rac_op33_8.mid,rachmaninow;piano;rac;8;op33;test;classical
rac_op32_1_format0.mid,format0;rachmaninow;piano;op32;rac;1;test;classical
rac_op23_7_format0.mid,7;format0;rachmaninow;piano;rac;test;classical;op23
rac_op23_5.mid,5;rachmaninow;piano;rac;test;classical;op23
rac_op33_8_format0.mid,format0;rachmaninow;piano;rac;8;op33;test;classical
rac_op23_7.mid,7;rachmaninow;piano;rac;test;classical;op23
rac_op3_2_format0.mid,format0;rachmaninow;piano;2;rac;test;classical;op3
rac_op23_5_format0.mid,5;format0;rachmaninow;piano;rac;test;classical;op23
rac_op23_3.mid,3;rachmaninow;piano;rac;test;classical;op23
rac_op32_13_format0.mid,format0;rachmaninow;piano;op32;rac;13;test;classical
rac_op23_3_format0.mid,3;format0;rachmaninow;piano;rac;test;classical;op23
bor_ps5.mid,piano;ps5;bor;test;classical;borodin
bor_ps6_format0.mid,format0;piano;bor;ps6;test;classical;borodin
bor_ps4.mid,ps4;piano;bor;test;classical;borodin
bor_ps3_format0.mid,format0;ps3;piano;bor;test;classical;borodin
bor_ps2.mid,ps2;piano;bor;test;classical;borodin
bor_ps3.mid,ps3;piano;bor;test;classical;borodin
bor_ps1.mid,piano;ps1;bor;test;classical;borodin
bor_ps1_format0.mid,format0;piano;ps1;bor;test;classical;borodin
bor_ps6.mid,piano;bor;ps6;test;classical;borodin
bor_ps7.mid,piano;bor;test;classical;ps7;borodin
bor_ps7_format0.mid,format0;piano;bor;test;classical;ps7;borodin
bor_ps2_format0.mid,format0;ps2;piano;bor;test;classical;borodin
clementi_opus36_1_2.mid,opus36;piano;2;clementi;1;test;classical
clementi_opus36_1_3_format0.mid,opus36;3;format0;piano;clementi;1;test;classical
clementi_opus36_5_3.mid,5;opus36;3;piano;clementi;test;classical
clementi_opus36_2_3.mid,opus36;3;piano;2;clementi;test;classical
clementi_opus36_5_2.mid,5;opus36;piano;2;clementi;test;classical
clementi_opus36_6_2.mid,opus36;piano;2;clementi;6;test;classical
clementi_opus36_4_3_format0.mid,opus36;3;format0;piano;4;clementi;test;classical
clementi_opus36_4_1.mid,opus36;4;piano;clementi;1;test;classical
clementi_opus36_3_3.mid,opus36;3;piano;clementi;test;classical
clementi_opus36_1_1_format0.mid,opus36;format0;piano;clementi;1;test;classical
clementi_opus36_6_2_format0.mid,opus36;format0;piano;2;clementi;6;test;classical
clementi_opus36_3_1_format0.mid,opus36;3;format0;piano;clementi;1;test;classical
clementi_opus36_4_1_format0.mid,opus36;format0;piano;4;clementi;1;test;classical
clementi_opus36_6_1_format0.mid,opus36;format0;piano;clementi;6;1;test;classical
